Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (ZAR),Impressions,Impressions click-through rate (%)
Dki5FDlVYeA,Maths Lit - Paper 2 Nov 2017 (Q1.4 - graph interpretation & percentages),"Nov 12, 2020",624,3067,208.0659,12,21.028,33956,3.84
QBZ5WXcUrY4,Maths Lit - Paper 1 Nov 2023 (Q3.3. - box and whisker plots & median),"Oct 16, 2024",384,3051,169.2342,18,29.83,21450,6.03
8o1wIgTTQh8,"Maths Lit - Paper 2 Nov 2021 (Q3.1. - 3.3.  - measurement, area & cost)","Nov 3, 2023",816,3028,280.2421,9,48.199,27079,4.77
wDl-vYwkqvE,Maths Lit - Paper 1 Nov 2021 (Q5.1. - tax),"Oct 24, 2023",588,2998,212.6128,17,46.075,27017,4.6
BIxRKB3mHRQ,"Maths Lit - Paper 2 Nov 2023 (Q3.1. + 3.2. - mass, volume & ratios)","Oct 30, 2024",757,2982,289.8009,9,50.514,24743,5.25
hOqluQsM1fg,Maths Lit - Paper 2 Nov 2022 (Q5.1. + 5.2. - working with an infographic & date conversions),"Jul 29, 2023",302,2971,105.7317,3,24.343,25833,3.53
kS2ZIH6eYuE,"Maths Lit - Paper 1 Nov 2023 (Q1.2. - pie charts, percentage & interpretation)","Oct 16, 2024",409,2957,188.1188,7,35.217,21646,5.22
dlsDFIzwDXs,Maths Lit - Paper 2 Nov 2019 (Q1.1-1.3 - graph drawing & interpretation),"Sep 17, 2020",811,2927,168.2515,13,35.17,21178,5.5
2EaV8_80qZk,Maths Lit - Paper 1 Nov 2021 (Q2.2. - interpreting financial contracts & VAT),"Oct 19, 2023",237,2906,97.6437,10,31.36,24573,3.45
ELnE3VeUoKY,"Maths Lit - Paper 2 Nov 2023 (Q5.3. - measurement, conversion, distance, speed & time)","Oct 30, 2024",891,2901,234.5721,10,46.177,17390,8.33
mf62A9plZbY,Maths Lit - Paper 2 Nov 2019 (Q3.4 - time),"Aug 19, 2020",193,2898,81.863,7,17.829,20124,5.41
TbwkQKbXD9w,Maths Lit - Paper 1 Nov 2023 (Q2.1.4 + 2.2. - VAT & tax),"Oct 16, 2024",463,2836,186.6695,7,33.368,20289,4.63
_mXEKonipmE,Maths Lit - Paper 2 Nov 2020 (Q3.1. - data handling & probability),"Oct 16, 2022",726,2832,217.791,10,42.771,29283,4.01
ejE7mQ4LKoc,"Maths Lit - Paper 2 Nov 2023 (Q2.1. - layout plan interpretation, scale & direction)","Oct 30, 2024",488,2770,194.244,8,34.264,21824,4.6
ZyDjyYccD-M,Maths Lit - Paper 2 Nov 2017 (Q2.3 - data handling & exchange rates),"Nov 14, 2020",850,2739,231.7667,9,19.083,32076,3.57
UB-7st1xHRA,Maths Lit - Paper 2 Nov 2023 (Q3.3. - complex surface area & spread rate),"Oct 30, 2024",894,2710,283.8694,10,45.217,24082,4.63
sreUc_WMUiU,Maths Lit - Paper 1 Nov 2023 (Q2.1.1. - 2.1.3. - financial statements & insurance),"Oct 16, 2024",400,2685,175.1894,5,26.171,20869,4.73
oOuK8o23v3Q,Maths Lit - Paper 2 Nov 2023 (Q2.2. - using space & area),"Oct 30, 2024",467,2680,208.9556,5,22.719,23784,4.05
3K4ibpf77DI,"Maths Lit - Paper 1 Nov 2017 (Q1.1. + 1.2. - definitions, profit & distance)","Nov 2, 2022",459,2653,108.0486,23,55.26,23356,5.9
OukMHwpgJUo,"Maths Lit - Paper 2 Nov 2020 (Q3.2. - mapwork, working with time & cost)","Oct 16, 2022",779,2644,215.7824,3,40.317,28748,3.72
bCNfkk_3hqc,"Maths Lit - Paper 1 Nov 2018 (Q4.2 - map interpretation, speed, distance & time)","Oct 10, 2020",442,2618,149.6403,17,30.746,24734,4.25
UoJFLGsdH2g,Maths Lit - Paper 1 Nov 2023 (Q1.3. - income & loan repayments),"Oct 16, 2024",232,2587,96.4745,5,23.749,19705,4.31
AXhd-_yW-6E,"Maths Lit - Paper 2 Nov 2021 (Q5 - map reading, cost & measurement)","Nov 4, 2023",1159,2577,223.5521,11,32.266,24757,4.88
q1NziJU7PpA,"Maths Lit - Paper 2 Nov 2023 (Q5.1. + 5.2. - surface area, mass & volume)","Oct 30, 2024",350,2575,107.9685,5,24.266,23118,5.46
GQifOvz147k,Maths Lit - Paper 2 Nov 2018 (Q1.2.1 -  surface area & cost),"Nov 4, 2020",414,2559,141.3347,7,25.282,23751,4.96
lckVOWuCVNs,Maths Lit - Paper 1 Nov 2021 (Q3.1. - interpreting & manipulating data),"Oct 19, 2023",636,2557,196.3092,19,41.498,23950,3.95
GglFe0rizkQ,Maths Lit - Paper 1 Nov 2021 (Q1.2. - graph interpretation & conversions),"Oct 19, 2023",227,2541,88.678,6,31.05,21758,4.01
bURBN7aTXo4,"Maths Lit - Paper 2 Nov 2017 (Q4.2 + 4.3 - speed, percentages & data interpretation)","Nov 14, 2020",740,2510,161.5324,4,16.868,29989,3.73
va9tKZaDjoo,"Maths Lit - Paper 2 Nov 2020 (Q4.1. - plans, exchange rates & VAT)","Oct 16, 2022",792,2489,195.3017,14,41.1,30199,3.74
RzBo3KoNwt0,"Maths Lit - Paper 2 Nov 2024 (Q1.1. +. 1.2. - definitions, measurement & volume)","Nov 1, 2025",617,2414,128.5584,9,30.316,31941,4.41
 -uOkaJW6Hp0,"Maths Lit - Paper 2 Nov 2023 (Q4.1. - ratios, area of a circle & circumference)","Oct 30, 2024",608,2396,142.5823,3,28.261,17601,4.02
S0TF-8XAdHA,"Maths Lit - Paper 1 Nov 2022 (Q5.1. - graph interpretation, percentages & range)","Jun 23, 2023",432,2394,117.7067,7,18.067,22642,3.31
tbIZZR-uNzs,Maths Lit - Paper 2 Nov 2017 (Q1.3 - compound interest),"Nov 12, 2020",220,2347,75.1549,3,17.973,24071,4.25
joBXxuz3VsA,"Maths Lit - Paper 1 Nov 2021 (Q4.1. - profit, exchange rates & ratios)","Oct 19, 2023",511,2340,143.6778,11,29.352,20948,4.27
LbsfDw3Gfno,Maths Core - Paper 2 Nov 2019 (Q12 - geometry problem solving),"Nov 14, 2020",524,2319,107.2774,7,16.759,40514,3.11
LmLFbAcbHHU,Maths Lit - Paper 1 Nov 2018 (Q1.2 - measurement & scale),"Aug 23, 2020",264,2306,87.779,11,24.734,18628,5.46
CQmChO-inps,Maths Lit - Paper 2 Nov 2023 (Q1.3. - interpreting instructions),"Oct 30, 2024",223,2278,79.3492,4,17.715,20307,3.86
hPPeDhXnky8,Maths Lit - Paper 2 Nov 2021 (Q1.4. - layout plan interpretation),"Nov 3, 2023",264,2240,91.8933,1,21.385,21234,2.92
2hUH3S7r5D4,Maths Lit - Paper 1 Nov 2018 (Q5.2 - data interpretation & probability),"Oct 11, 2020",958,2222,192.4535,13,20.763,21688,4.24
zciM2qkaKxQ,"Maths Lit - Paper 2 Nov 2018 (Q4.2 - data interpretation: IQR, mean, percentages)","Nov 7, 2020",1183,2219,215.2104,9,22.503,23186,4.05
3_y5d2HwdbE,Maths Lit - Paper 2 Nov 2019 (Q4.3 - data handling),"Aug 22, 2020",655,2148,160.4227,2,17.372,14174,6.69
Vwad0CDJvrM,Maths Core - Paper 2 Nov 2019 (Q6 - trig graphs & derivatives),"Nov 10, 2020",550,2092,148.3522,18,76.653,26433,4.04
eZ-KTNqwuZU,Maths Lit - Paper 1 Nov 2021 (Q4.3. - data handling),"Oct 24, 2023",408,2090,98.0419,8,20.862,19948,3.71
erYXyfaEOzY,"Maths Lit - Paper 1 Nov 2023 (Q4.1. - mode, working with money, median & probability)","Oct 16, 2024",574,2067,142.2926,4,24.24,17727,4.19
cp26T1iXA7I,Maths Lit - Paper 2 Nov 2019 (Q3.2 - interest),"Aug 18, 2020",385,2032,97.4652,0,15.832,16963,4.75
d65g5LrOvpo,Maths Lit - Paper 2 Nov 2018 (Q2.2 - finance calcs),"Nov 5, 2020",725,2025,139.652,8,18.828,22243,3.63
7rRMtdKxXkU,"Maths Lit - Paper 2 Nov 2021 (Q4.1. + 4.2. - layout plan interpretation, area, volume & cost)","Nov 3, 2023",708,2023,164.3476,5,24.549,23242,3.35
FyqHwSToMjI,Maths Lit - Paper 1 Nov 2019 (Q5.2 - data handling),"Aug 13, 2020",436,2015,103.1741,9,17.872,13960,6.3
dBDdnQCm4vA,"Maths Lit - Paper 2 Nov 2023 (Q2.3. - road map interpretation, probability & time)","Oct 30, 2024",433,1996,115.9972,4,16.04,19000,3.19
anJLy0NqlC8,Maths Lit - Paper 2 Nov 2021 (Q3.4. - measurement & interpretation),"Nov 3, 2023",359,1990,90.873,6,16.935,19754,3.79
00kCCRRU2E0,Maths Lit - Paper 2 Nov 2018 (Q2.1 - data handling & interpretation),"Nov 4, 2020",958,1987,167.1908,3,14.567,25098,3.48
uHSu0GD-_eo,Maths Core - Paper 2 Nov 2019 (Q2 - trig identities),"Oct 27, 2020",784,1985,160.6455,9,22.572,27941,4.31
j8tw4Ktk9dg,"Maths Lit - Paper 1 Nov 2016 (Q1.1. - interest rates, home loans & VAT)","Jun 2, 2023",1201,1971,140.6969,15,38.337,18033,5.99
vyqVQjn52EQ,Maths Core - Paper 2 Nov 2019 (Q5 - trig: graphs & identities),"Nov 10, 2020",558,1967,125.3523,9,24.118,30407,3.44
H8Vc0rdz_7c,Maths Lit - Paper 1 Nov 2018 (Q2.3 - budgeting),"Aug 27, 2020",451,1945,100.7795,8,25.692,15593,4.87
5pTMETMf6Qw,Maths Lit - Paper 2 Nov 2021 (Q4.3. - assembling a chair & following instructions),"Nov 4, 2023",597,1926,103.6063,3,21.757,23552,2.96
MOJ4ydo4bAE,Maths Core - Paper 2 Nov 2019 (Q4 - geometry),"Nov 10, 2020",903,1913,146.0401,8,22.339,38482,2.36
FFvUdEnzT40,Maths Lit - Paper 1 Nov 2021 (Q1.3. - data/survey interpretation),"Oct 19, 2023",162,1891,49.8539,3,19.484,18301,2.73
S6bffJ3DcyA,"Maths Lit - Paper 1 Nov 2023 (Q3.1. - bar graphs, percentages & probability)","Oct 16, 2024",499,1858,131.9295,5,25.024,15543,3.73
gIjqs8NzH4g,"Maths Lit - Paper 1 Nov 2023 (Q4.2. - income, expenditure & break-even graphs)","Oct 18, 2024",559,1842,139.8781,8,21.511,14551,4.23
5vOJyyrWuxk,Maths Lit - Paper 2 Nov 2019 (Q3.5 - representation of the physical world),"Aug 19, 2020",277,1834,66.4701,3,13.788,14780,4.65
WN5m5zee6Hw,Maths Lit - Paper 2 Nov 2020 (Q4.2. - graphs & inflation),"Oct 16, 2022",672,1815,122.0765,4,23.158,20539,3.66
tB0bBzR93xI,Maths Lit - Paper 1 Nov 2023 (Q5.1. - percentages & probability),"Oct 18, 2024",540,1802,124.2322,9,23.113,13528,5.23
8kgil5zXkAg,Maths Core - Paper 2 Nov 2019 (Q9a - length & area),"Nov 14, 2020",593,1799,99.9583,5,19.342,33573,2.71
boHHys_X0p0,Maths Lit - Paper 1 Nov 2016 (Q3.1. - seating plans & directions),"Jun 2, 2023",690,1746,103.3402,9,28.194,16416,6.38
5XCqBHO5Cs0,Maths Lit - Paper 2 Nov 2017 (Q1.5 - data interpretation),"Nov 12, 2020",248,1730,56.2878,4,14.031,23771,3.04
XqF8eHB5RaI,Maths Lit - Paper 1 Nov 2018 (Q1.4 - time & ratios),"Aug 25, 2020",185,1687,48.8287,1,14.206,15135,4.6
TJ6AD3oPQAA,Maths Lit - Paper 1 Nov 2017 (Q2.2. - tariffs & financial statements),"Nov 2, 2022",707,1679,113.7438,10,25.905,20120,3.87
rgrWWYP0iXo,Maths Core - Paper 2 Nov 2019 (Q5.1-5.3 - trig: identities & manipulation),"Nov 9, 2020",560,1653,116.8085,11,12.813,23414,3.42
piCY5jwaZxk,Maths Lit - Paper 1 Nov 2018 (Q5.1 - data interpretation),"Oct 11, 2020",533,1636,103.0538,7,18.863,20346,3.13
wbkeD72qgk0,Maths Core - Paper 2 Nov 2019 (Q4 - analytical geometry: circles & tangents),"Nov 9, 2020",1100,1633,154.3263,7,9.852,22041,3.62
m1AcYQ-5JDg,Maths Lit - Paper 1 Nov 2019 (Q1.2 - finance),"Aug 24, 2020",549,1627,95.9793,9,21.162,16124,5.19
rvfbEi73TfE,Maths Core - Paper 1 Nov 2019 (Q2 - finance),"Sep 19, 2020",1540,1599,181.2414,9,27.435,21197,4.28
zRNCVZwiZiQ,Maths Lit - Paper 1 Nov 2017 (Q1.3. + 1.4. - ratios & data handling),"Nov 2, 2022",495,1589,81.5134,0,20.788,17618,3.97
5PzdKBWrc1k,Maths Lit - Paper 2 Nov 2018 (Q1.2.2  + 1.3 - practical application of 1.2.1 & time),"Nov 4, 2020",186,1588,37.6068,6,13.755,18316,3.47
p79SNfrlu0Y,Maths Lit - Paper 1 Nov 2021 (Q3.2. - graph interpretation & range),"Oct 19, 2023",325,1557,66.7058,4,15.599,15465,2.86
rwMK4QTFDbA,Maths Lit - Paper 1 Nov 2023 (Q5.2. - exchange rates & conversions),"Oct 18, 2024",228,1555,54.4282,10,13.144,7379,7.81
OltPBtobGAw,"Maths Lit - Paper 1 Nov 2024 (Q1.1. - bar graphs, fractions & graph interpretation)","Sep 2, 2025",478,1517,69.3744,4,14.096,9272,6.95
5qQvp7SHJBw,Maths Core - Paper 1 Nov 2019 (Q11 - probability),"Oct 18, 2020",821,1498,109.5358,12,16.382,16511,5.08
u8OwcHdF23Y,Maths Core - Paper 1 Nov 2019 (Q1.1 - factorization),"Aug 23, 2020",1038,1497,89.0351,13,14.062,14202,4.53
C3GlaIx7cj4,Maths Lit - Paper 2 Nov 2019 (Q4.2 - volume),"Oct 4, 2020",677,1431,90.5648,9,11.303,15869,3.79
jGLGGs5KAmo,Maths Lit - Paper 1 Nov 2018 (Q3.2 - ratios & conversion),"Sep 5, 2020",357,1417,73.1001,4,14.565,15590,3.81
Ozm_-FF0w-E,Maths Core - Paper 2 Nov 2019 (Q8a - proportionality theorem),"Nov 12, 2020",597,1398,101.5321,4,14.055,25438,2.87
c7FYGJ_LReg,Maths Core - Paper 2 Nov 2019 (Q1 - statistics: regression & correlation),"Oct 7, 2020",887,1382,101.524,4,9.52,16723,3.48
tZ3kpDgRqms,"Maths Lit - Paper 2 Nov 2023 (Q4.2. - chart interpretation, BMI & probability)","Oct 30, 2024",328,1364,62.3255,1,11.76,15262,2.97
_dlEwvaUj98,Maths Core - Paper 1 Nov 2019 (Q3 - sequences & series),"Aug 24, 2020",452,1362,66.603,13,18.653,19324,3.91
JXU-ccWNnM0,Maths Core - Paper 2 Nov 2019 (Q6a-c - stats),"Nov 10, 2020",395,1347,71.4676,1,16.183,25579,2.66
E7siQ0pqvAc,Maths Lit - Paper 1 Nov 2017 (Q5.2. - working with pie charts),"Nov 3, 2022",414,1343,53.4354,14,22.682,25806,2.85
R1W8jMlLCnY,Maths Core - Paper 1 Nov 2020 (Q2 part 1 - equations & exponents),"Oct 10, 2022",340,1331,51.2629,4,17.163,17513,3.71
6BItvsHydCA,Maths Core - Paper 2 Nov 2019 (Q6d-e + Q7 - stats),"Nov 10, 2020",864,1312,108.653,1,15.005,25687,2.23
akfukxdXtL4,Maths Core - Paper 1 Nov 2019 (Q4 - functions: parabola & hyberbola),"Aug 25, 2020",1316,1293,148.0691,12,15.304,15810,4.74
BWhiA2iKrzI,Maths Lit - Paper 1 Nov 2017 (Q3.1. - perimeter & volume),"Nov 2, 2022",386,1272,54.9018,2,21.058,17150,3.21
eMhN7zMkvSE,"Maths Lit - Paper 2 Nov 2024 (Q3.2. + 3.3. - circumference, area, spread, volume & probability)","Nov 1, 2025",756,1262,108.417,6,15.121,12807,4.35
wjh-q6wTFck,Maths Core - Paper 1 Nov 2019 (Q9 part 1 - functions: cubic & hyperbola),"Oct 18, 2020",837,1237,86.9622,7,11.39,20509,3.3
UW5xsAxjuKk,Maths Lit - Paper 1 Nov 2019 (Q1.3 + 1.4 - VAT & discounts),"Aug 24, 2020",384,1231,56.5592,1,11.865,14355,3.85
P463df-lQ_Q,Maths Lit - Paper 1 Nov 2018 (Q1.3 - table interpretation),"Aug 25, 2020",113,1206,21.959,1,7.688,11898,4.15
